word,topicid,topicval
swiss,"[0, 5, 17, 23, 15, 3, 9, 1, 20, 13, 10, 12, 4, 11, 22, 14, 16, 18, 8, 7, 6, 19, 21, 2, 24]","[0.9999999935984647, 6.399840334224639e-09, 1.4880761503225193e-12, 1.948802654759921e-13, 5.1543807803361275e-17, 9.4915508814047476e-23, 3.3346292214686363e-33, 4.8904524072172879e-36, 1.0081453128895083e-60, 1.7298114834251264e-69, 5.3295332399207216e-71, 7.8669119197857585e-93, 7.2344436028127502e-105, 3.1324357550818342e-194, 1.4859686170638565e-278, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mathematician,"[12, 1, 10, 20, 13, 9, 4, 15, 5, 0, 17, 23, 14, 16, 11, 18, 8, 7, 6, 19, 21, 3, 2, 22, 24]","[1.0, 1.5069349521600631e-58, 1.9835075767028048e-59, 2.8972036475652649e-60, 4.1497281282860645e-73, 2.6156705290340428e-100, 6.4109068086296196e-118, 6.9313987363472884e-136, 2.207089566065349e-179, 1.2621102668237459e-183, 7.12721876304913e-250, 2.2283244658582717e-298, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
jacob,"[5, 0, 15, 17, 9, 23, 1, 3, 10, 20, 4, 13, 12, 11, 14, 16, 8, 7, 6, 18, 19, 21, 2, 22, 24]","[0.99999999405770268, 5.1292080244819853e-09, 6.7263863568261259e-10, 1.4046531848961664e-10, 2.3674922745537505e-19, 2.9262554429587576e-22, 1.4031060010477119e-30, 4.0578279053479048e-33, 1.1230025790391656e-55, 3.659719722785621e-61, 5.8856771799534103e-78, 2.0637217784110721e-85, 2.0871914534365795e-133, 2.8190529166883757e-264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bernoulli,"[17, 23, 0, 3, 5, 15, 9, 1, 20, 10, 13, 4, 11, 12, 14, 16, 8, 7, 6, 18, 19, 21, 2, 22, 24]","[0.99999999999710099, 2.876783905556314e-12, 7.1279191163868525e-17, 1.7841984649655818e-18, 1.1440459634079078e-28, 5.7867614284116305e-35, 1.4277341410891991e-46, 1.7090413400398793e-61, 6.1224858154819249e-79, 2.0437972196235031e-87, 4.6162584527044349e-95, 2.1175339089282657e-109, 6.9338802408869747e-246, 1.2302272458599104e-246, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
studi,"[4, 1, 13, 10, 20, 9, 15, 12, 0, 16, 14, 17, 23, 11, 18, 19, 8, 7, 6, 5, 21, 3, 2, 22, 24]","[1.0, 5.0703332466630936e-104, 4.1326636923801422e-107, 1.1352469000353367e-113, 8.2958846756005843e-127, 1.9214659081501763e-156, 3.7145489734043055e-226, 3.8409931309379075e-251, 7.4109846876186982e-323, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
compound,"[18, 24, 11, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 23, 13, 14, 15, 16, 17, 19, 20, 21, 22, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
interest,"[9, 15, 5, 1, 0, 20, 10, 17, 23, 13, 3, 4, 12, 11, 22, 14, 16, 8, 7, 6, 18, 19, 21, 2, 24]","[0.99999999975653964, 2.4345017735753917e-10, 1.255153097847725e-14, 5.3544014757312892e-15, 3.4033426928622946e-26, 5.4064878443175284e-28, 1.5664758646750083e-33, 1.0062245521475882e-43, 8.6854063826849052e-62, 3.1533209631358202e-62, 3.5186060374943592e-81, 1.6035234214019655e-82, 1.2728116885693924e-108, 5.8933540214380532e-289, 9.6285981585034753e-305, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
aris,"[11, 3, 21, 2, 23, 14, 24, 8, 17, 7, 6, 16, 0, 19, 18, 22, 5, 12, 15, 4, 13, 9, 10, 1, 20]","[1.0, 3.8587951977822958e-45, 1.0895080983098445e-49, 1.0447181467825393e-49, 4.4279589806278994e-51, 1.4596049765933827e-51, 4.1719244972945746e-53, 1.1107230724235014e-58, 7.4128936400505645e-61, 3.7218347803467932e-62, 4.3484707743279392e-67, 2.1048607796944897e-67, 3.2142582165748242e-70, 1.3705355811510938e-86, 7.4736258302227036e-93, 8.0082371805366967e-98, 6.7185006257914066e-102, 9.3974849288313149e-120, 5.7007147593665242e-123, 8.7275573704671923e-135, 8.8600082954562793e-136, 4.331980478425946e-140, 4.0615543801491828e-151, 1.5112919604746195e-155, 9.1858424972186229e-162]"
limit,"[4, 20, 10, 1, 9, 13, 15, 0, 5, 12, 17, 23, 14, 16, 11, 18, 8, 7, 6, 19, 21, 3, 2, 22, 24]","[1.0, 5.9886277504377388e-53, 1.3773576777795132e-55, 2.2743685435321132e-92, 1.4968164347499318e-108, 3.9323003492193708e-127, 2.0047901588518116e-175, 9.5921774419887e-206, 1.5216516365981947e-212, 1.0397072345170171e-213, 1.4341859504947016e-289, 2.2232954062856094e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
n,"[22, 10, 20, 24, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 11, 23, 13, 14, 15, 16, 17, 18, 19, 21, 0]","[1.0, 2.3297270937149604e-312, 2.9643938750474793e-323, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
approach,"[1, 9, 15, 20, 10, 5, 13, 0, 17, 4, 23, 3, 12, 11, 14, 16, 8, 7, 6, 18, 19, 21, 2, 22, 24]","[0.99999999956799002, 4.3199126270697916e-10, 1.9397530843013539e-19, 3.2694436801199659e-22, 2.5369498489028325e-26, 9.7703553965394452e-32, 2.8238429702525676e-36, 5.8280075569134997e-44, 7.371224450514899e-66, 7.2079032495101401e-77, 1.4879119702429271e-78, 8.0900536422576328e-104, 4.4429878581860938e-122, 3.5410423515228817e-293, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
infin,"[0, 17, 23, 5, 3, 15, 9, 1, 10, 20, 13, 4, 12, 11, 14, 16, 8, 7, 6, 18, 19, 21, 2, 22, 24]","[0.99999998739883733, 1.2600855404226812e-08, 3.1939878751623124e-13, 1.4925241676904271e-14, 2.5845535990118544e-25, 1.4400583432375332e-34, 5.3333635939881158e-36, 8.0484432301066099e-55, 2.8627692692458403e-85, 1.7331945322591174e-86, 3.1715512045975902e-99, 2.7712356124665776e-122, 4.3730543523934303e-193, 2.9839387775401195e-263, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
calcul,"[12, 1, 20, 9, 10, 13, 15, 4, 5, 0, 17, 23, 3, 14, 16, 11, 18, 8, 7, 6, 19, 21, 2, 22, 24]","[1.0, 1.7410308087962097e-19, 1.6519308744821397e-28, 1.23702350854592e-37, 1.8439351791008211e-38, 1.6862372966381427e-52, 8.6092308100919735e-62, 6.5075240025116615e-66, 6.1808479030661289e-89, 1.2172054679995981e-106, 5.6017500449979276e-134, 1.2123691989878011e-174, 9.7548255040197919e-237, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
